title,year,duration,genre,rating,movie_url
3 Idiots,2009,2h 50m,"Comedy,Drama",8.5,https://www.imdb.com/title/tt1187043/
Gisaengchung,2019,2h 12m,"Comedy,Drama,Thriller",8.5,https://www.imdb.com/title/tt6751668/
The Silence of the Lambs,1991,1h 58m,"Crime,Drama,Thriller",8.6,https://www.imdb.com/title/tt0102926/
Seppuku,1962,2h 13m,"Action,Drama,Mystery,When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so ..., ,Read all,When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.,When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",8.6,https://www.imdb.com/title/tt0056058/
Léon,1994,1h 50m,"Action,Crime,Drama",8.6,https://www.imdb.com/title/tt0110413/
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,"Action,Adventure,Drama",8.9,https://www.imdb.com/title/tt0120737/
Schindler's List,1993,3h 15m,"Biography,Drama,History",9.0,https://www.imdb.com/title/tt0108052/
The Godfather: Part II,1974,3h 22m,"Crime,Drama",9.0,https://www.imdb.com/title/tt0071562/
12 Angry Men,1957,1h 36m,"Crime,Drama",9.0,https://www.imdb.com/title/tt0050083/
The Lord of the Rings: The Return of the King,2003,3h 21m,"Action,Adventure,Drama",9.0,https://www.imdb.com/title/tt0167260/
The Dark Knight,2008,2h 32m,"Action,Crime,Drama",9.1,https://www.imdb.com/title/tt0468569/
The Godfather,1972,2h 55m,"Crime,Drama",9.2,https://www.imdb.com/title/tt0068646/
The Shawshank Redemption,1994,2h 22m,Drama,9.3,https://www.imdb.com/title/tt0111161/
